Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 68.75      0.11     0.11                             main
 31.25      0.16     0.05      100   500.00   500.00  game_of_life_stats
  0.00      0.16     0.00      101     0.00     0.00  get_elapsed_time
  0.00      0.16     0.00      101     0.00     0.00  init_time
  0.00      0.16     0.00      100     0.00     0.00  visualise
  0.00      0.16     0.00        2     0.00     0.00  report_memory_usage
  0.00      0.16     0.00        1     0.00     0.00  cpuset_to_cstr
  0.00      0.16     0.00        1     0.00     0.00  generate_IC
  0.00      0.16     0.00        1     0.00     0.00  getinput
  0.00      0.16     0.00        1     0.00     0.00  report_core_binding
  0.00      0.16     0.00        1     0.00     0.00  report_runtime_state
